Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Steroid Dehydrogenase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0033764)	2/22	0.0051501523638081805	0.27459148637001224	0	0	20.710416666666667	109.117572469987	DHRS9;HSD17B2
Testosterone Dehydrogenase [NAD(P)] Activity (GO:0030283)	1/5	0.024263309113639643	0.27459148637001224	0	0	51.28350515463917	190.71258524794393	HSD17B2
Alkaline Phosphatase Activity (GO:0004035)	1/5	0.024263309113639643	0.27459148637001224	0	0	51.28350515463917	190.71258524794393	ALPL
Chromo Shadow Domain Binding (GO:0070087)	1/5	0.024263309113639643	0.27459148637001224	0	0	51.28350515463917	190.71258524794393	SP100
Cobalamin Binding (GO:0031419)	1/5	0.024263309113639643	0.27459148637001224	0	0	51.28350515463917	190.71258524794393	CD320
Epinephrine Binding (GO:0051379)	1/5	0.024263309113639643	0.27459148637001224	0	0	51.28350515463917	190.71258524794393	ADRA2B
Sphingosine-1-Phosphate Phosphatase Activity (GO:0042392)	1/6	0.02904559756492306	0.27459148637001224	0	0	41.02474226804124	145.18198263769264	SGPP2
Alcohol Dehydrogenase [NAD(P)+] Activity (GO:0018455)	1/7	0.033804686617199584	0.27459148637001224	0	0	34.18556701030928	115.79184255951503	DHRS9
Peptide Transmembrane Transporter Activity (GO:1904680)	1/7	0.033804686617199584	0.27459148637001224	0	0	34.18556701030928	115.79184255951503	SLC15A3
Androsterone Dehydrogenase Activity (GO:0047023)	1/7	0.033804686617199584	0.27459148637001224	0	0	34.18556701030928	115.79184255951503	DHRS9
MHC Class Ib Protein Binding (GO:0023029)	1/7	0.033804686617199584	0.27459148637001224	0	0	34.18556701030928	115.79184255951503	LILRB2
Alcohol Dehydrogenase (NAD+) Activity (GO:0004022)	1/8	0.03854068730993136	0.27459148637001224	0	0	29.30044182621502	95.40343353076332	DHRS9
Inhibitory MHC Class I Receptor Activity (GO:0032396)	1/9	0.043253710264252496	0.27459148637001224	0	0	25.63659793814433	80.51615205757753	LILRB2
Estradiol 17-Beta-Dehydrogenase [NAD(P)] Activity (GO:0004303)	1/9	0.043253710264252496	0.27459148637001224	0	0	25.63659793814433	80.51615205757753	HSD17B2
BMP Receptor Binding (GO:0070700)	1/10	0.04794386563583509	0.27459148637001224	0	0	22.786941580756015	69.220448859451	BMP6
Transmembrane Receptor Protein Serine/Threonine Kinase Binding (GO:0070696)	1/10	0.04794386563583509	0.27459148637001224	0	0	22.786941580756015	69.220448859451	BMP6
Complement Component C3b Binding (GO:0001851)	1/10	0.04794386563583509	0.27459148637001224	0	0	22.786941580756015	69.220448859451	CR1
MHC Class I Receptor Activity (GO:0032393)	1/11	0.052611263106800116	0.27459148637001224	0	0	20.507216494845363	60.390164935250596	LILRB2
Complement Receptor Activity (GO:0004875)	1/11	0.052611263106800116	0.27459148637001224	0	0	20.507216494845363	60.390164935250596	CR1
5'-Nucleotidase Activity (GO:0008253)	1/12	0.05725601186319688	0.27459148637001224	0	0	18.64198687910028	53.32023276493544	NT5DC4
Lipid Phosphatase Activity (GO:0042577)	1/13	0.06187822059551735	0.27459148637001224	0	0	17.087628865979383	47.54781410425205	SGPP2
MHC Class I Protein Binding (GO:0042288)	1/13	0.06187822059551735	0.27459148637001224	0	0	17.087628865979383	47.54781410425205	LILRB2
Phosphatase Activity (GO:0016791)	2/83	0.06262392914688636	0.27459148637001224	0	0	5.097993827160494	14.12454155963278	ALPL;SGPP2
Hyaluronic Acid Binding (GO:0005540)	1/14	0.0664779974990266	0.27459148637001224	0	0	15.772402854877082	42.75715849568251	CD44
Nucleotidase Activity (GO:0008252)	1/14	0.0664779974990266	0.27459148637001224	0	0	15.772402854877082	42.75715849568251	NT5DC4
Heme Binding (GO:0020037)	2/87	0.06799408233924113	0.27459148637001224	0	0	4.857107843137255	13.057531080428213	HBZ;CYB561D2
Receptor Ligand Activity (GO:0048018)	4/319	0.07179271321385235	0.2791938847205369	0	0	2.6459979736575483	6.969485356167258	KITLG;GDNF;BMP6;APLN
Protein Phosphatase 1 Binding (GO:0008157)	1/17	0.08014381161944185	0.280834758058725	0	0	12.813144329896907	32.33951284796603	LILRB2
Neuropeptide Receptor Binding (GO:0071855)	1/17	0.08014381161944185	0.280834758058725	0	0	12.813144329896907	32.33951284796603	APLN
Hydrolase Activity, Hydrolyzing N-glycosyl Compounds (GO:0016799)	1/18	0.08465493309372914	0.280834758058725	0	0	12.058823529411764	29.775308154544383	BST1
Mannose Binding (GO:0005537)	1/18	0.08465493309372914	0.280834758058725	0	0	12.058823529411764	29.775308154544383	CD209
NAD-retinol Dehydrogenase Activity (GO:0004745)	1/19	0.08914415615924	0.280834758058725	0	0	11.38831615120275	27.531259847052414	DHRS9
Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process (GO:0043027)	1/19	0.08914415615924	0.280834758058725	0	0	11.38831615120275	27.531259847052414	RPS6KA3
Carboxylic Ester Hydrolase Activity (GO:0052689)	2/104	0.09236188609836236	0.280834758058725	0	0	4.044117647058823	9.633253532715042	ACHE;PNPLA7
Solute:Proton Symporter Activity (GO:0015295)	1/20	0.09361158601957499	0.280834758058725	0	0	10.788388497015735	25.553389086720664	SLC15A3
Lysophospholipase Activity (GO:0004622)	1/21	0.09805732735418307	0.2860005381163673	0	0	10.248453608247422	23.798989697417564	PNPLA7
Notch Binding (GO:0005112)	1/24	0.11126545974097125	0.3157533316973508	0	0	8.910354101299866	19.565679904837808	TCIM
Carboxy-Lyase Activity (GO:0016831)	1/27	0.12428211698541018	0.33460569957610437	0	0	7.8810467882632835	16.43356790965512	UMPS
Lipoprotein Particle Receptor Binding (GO:0070325)	1/27	0.12428211698541018	0.33460569957610437	0	0	7.8810467882632835	16.43356790965512	RELN
MHC Protein Binding (GO:0042287)	1/34	0.15392505118657634	0.40171299666400795	0	0	6.207122774133083	11.61532352125674	LILRB2
Chemoattractant Activity (GO:0042056)	1/35	0.15807787212422003	0.40171299666400795	0	0	6.0242571255306245	11.112751366206078	GDNF
mRNA Binding (GO:0003729)	3/282	0.16068519866560318	0.40171299666400795	0	0	2.221052631578947	4.060768552067063	DAZL;TDRD7;N4BP1
