Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of T Cell Tolerance Induction (GO:0002664)	2/6	3.5194284531443883E-4	0.08116197684927746	0	0	103.63541666666667	824.1131618546726	HLA-B;LILRB2
Positive Regulation Of Lymphocyte Proliferation (GO:0050671)	4/74	4.7956954153945835E-4	0.08116197684927746	0	0	12.055927051671732	92.13888903416621	BST1;CD209;LILRB2;CD320
Regulation Of DNA-templated Transcription In Response To Stress (GO:0043620)	2/7	4.911466072573523E-4	0.08116197684927746	0	0	82.90416666666667	631.6276025840689	RPS6KA3;TCIM
Negative Regulation Of Complement Activation, Classical Pathway (GO:0045959)	2/7	4.911466072573523E-4	0.08116197684927746	0	0	82.90416666666667	631.6276025840689	CR1;C4BPB
Regulation Of Complement Activation, Classical Pathway (GO:0030450)	2/8	6.527714849626119E-4	0.08612928842307754	0	0	69.08333333333333	506.67674739740534	CR1;C4BPB
Negative Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002924)	2/9	8.365989320929864E-4	0.08612928842307754	0	0	59.211309523809526	419.5811550666976	CR1;C4BPB
Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730)	4/90	0.0010032489869354715	0.08612928842307754	0	0	9.80504700643246	67.69906038853408	BST1;RELN;CD44;BMP6
Regulation Of Dendritic Cell Differentiation (GO:2001198)	2/10	0.0010424119627603938	0.08612928842307754	0	0	51.807291666666664	355.7201614766498	HLA-B;LILRB2
Negative Regulation Of Complement Activation (GO:0045916)	2/12	0.0015191345837264401	0.09099518846095116	0	0	41.44166666666667	268.9404392083059	CR1;C4BPB
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway (GO:0002484)	2/13	0.0017896179273712027	0.09099518846095116	0	0	37.672348484848484	238.3059763541143	HLA-B;HLA-F
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway, TAP-independent (GO:0002486)	2/13	0.0017896179273712027	0.09099518846095116	0	0	37.672348484848484	238.3059763541143	HLA-B;HLA-F
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class Ib (GO:0002476)	2/13	0.0017896179273712027	0.09099518846095116	0	0	37.672348484848484	238.3059763541143	HLA-B;HLA-F
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib (GO:0002428)	2/13	0.0017896179273712027	0.09099518846095116	0	0	37.672348484848484	238.3059763541143	HLA-B;HLA-F
Positive Regulation Of Cell Differentiation (GO:0045597)	6/283	0.002701392851336218	0.12017114997887056	0	0	4.620546225082404	27.325853857180633	RPS6KA3;KITLG;GDNF;LAMA1;ADRA2B;BMP6
Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0045953)	2/16	0.0027270306349214193	0.12017114997887056	0	0	29.595238095238095	174.7463245947277	HLA-B;HLA-F
Positive Regulation Of Regulatory T Cell Differentiation (GO:0045591)	2/17	0.00308079638844763	0.12727540079774272	0	0	27.620833333333334	159.71932342658255	CR1;LILRB2
Peripheral Nervous System Development (GO:0007422)	2/20	0.0042631105931237815	0.16575977070910702	0	0	23.01388888888889	125.60419474591951	ADGRB2;GDNF
Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483)	2/21	0.004696881376949473	0.17021253562386035	0	0	21.801535087719298	116.87490168066948	HLA-B;HLA-F
Positive Regulation Of Viral Life Cycle (GO:1903902)	2/22	0.0051501523638081805	0.17021253562386035	0	0	20.710416666666667	109.117572469987	CD209;TMPRSS2
Regulation Of Regulatory T Cell Differentiation (GO:0045589)	2/22	0.0051501523638081805	0.17021253562386035	0	0	20.710416666666667	109.117572469987	CR1;LILRB2
Positive Regulation Of p38MAPK Cascade (GO:1900745)	2/24	0.006114406284999336	0.18453104679756646	0	0	18.825757575757574	95.95691213064545	GADD45B;RELL1
Skeletal System Development (GO:0001501)	4/149	0.0062193254571713515	0.18453104679756646	0	0	5.798092443140132	29.45485362014396	RPS6KA3;ALPL;BMP6;CD44
Regulation Of T Cell Proliferation (GO:0042129)	3/77	0.0064208987539244	0.18453104679756646	0	0	8.461450924608819	42.71507268155537	CR1;CD209;LILRB2
Positive Regulation Of Cellular Process (GO:0048522)	8/594	0.008767060202358404	0.23406386295747683	0	0	2.9299962078119073	13.87867049398947	RPS6KA3;BST1;HBZ;KITLG;CR1;GDNF;LAMA1;BMP6
Positive Regulation Of B Cell Proliferation (GO:0030890)	2/29	0.008852642320630742	0.23406386295747683	0	0	15.335648148148149	72.49221144466206	BST1;CD320
Regulation Of Long-Term Synaptic Potentiation (GO:1900271)	2/31	0.010074977542143497	0.24665037612432783	0	0	14.276580459770114	65.6394396936512	RELN;LILRB2
Leukocyte Cell-Cell Adhesion (GO:0007159)	2/31	0.010074977542143497	0.24665037612432783	0	0	14.276580459770114	65.6394396936512	SELL;CD209
Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916)	2/33	0.011367667552026258	0.24718671830537398	0	0	13.354166666666666	59.786365565191836	HLA-B;HLA-F
DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)	2/36	0.013435422414686402	0.24718671830537398	0	0	12.174019607843137	52.46832740335703	SP100;BCL3
Positive Regulation Of Signaling Receptor Activity (GO:2000273)	2/36	0.013435422414686402	0.24718671830537398	0	0	12.174019607843137	52.46832740335703	RELN;ADRA2B
Regulation Of T Cell Mediated Cytotoxicity (GO:0001914)	2/36	0.013435422414686402	0.24718671830537398	0	0	12.174019607843137	52.46832740335703	HLA-B;HLA-F
Negative Regulation Of T Cell Proliferation (GO:0042130)	2/36	0.013435422414686402	0.24718671830537398	0	0	12.174019607843137	52.46832740335703	CR1;LILRB2
