Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Secretory Granule Membrane (GO:0030667)	7/279	4.4733213508879203E-4	0.03220791372639303	0	0	5.551470588235294	42.81410258710495	BST1;ATP8B4;CR1;SELL;HLA-B;LILRB2;CD44
MHC Protein Complex (GO:0042611)	2/21	0.004696881376949473	0.16908772957018103	0	0	21.801535087719298	116.87490168066948	HLA-B;HLA-F
Lumenal Side Of Endoplasmic Reticulum Membrane (GO:0098553)	2/27	0.007702146959470626	0.18485152702729502	0	0	16.564166666666665	80.60547812798312	HLA-B;HLA-F
Cytoplasmic Vesicle Membrane (GO:0030659)	6/389	0.01225055438332975	0.2190445633178055	0	0	3.323703030991032	14.631552593718117	CR1;SELL;HLA-B;ANTXR2;SLC15A3;CD44
Phagocytic Vesicle Membrane (GO:0030670)	2/45	0.020520787967526953	0.2190445633178055	0	0	9.621608527131784	37.392619433922775	HLA-B;HLA-F
MHC Class I Protein Complex (GO:0042612)	1/5	0.024263309113639643	0.2190445633178055	0	0	51.28350515463917	190.71258524794393	HLA-B
ER To Golgi Transport Vesicle Membrane (GO:0012507)	2/55	0.029827077157263297	0.2190445633178055	0	0	7.802279874213837	27.404249305333554	HLA-B;HLA-F
Coated Vesicle Membrane (GO:0030662)	2/55	0.029827077157263297	0.2190445633178055	0	0	7.802279874213837	27.404249305333554	HLA-B;HLA-F
Transport Vesicle Membrane (GO:0030658)	2/60	0.03499774181939017	0.2190445633178055	0	0	7.127873563218391	23.89599467999878	HLA-B;HLA-F
Ficolin-1-Rich Granule Membrane (GO:0101003)	2/60	0.03499774181939017	0.2190445633178055	0	0	7.127873563218391	23.89599467999878	CR1;LILRB2
Mitochondrial Intermembrane Space (GO:0005758)	2/62	0.037156517932519735	0.2190445633178055	0	0	6.889583333333333	22.684752827524797	ALPL;COA7
Chromatoid Body (GO:0033391)	1/8	0.03854068730993136	0.2190445633178055	0	0	29.30044182621502	95.40343353076332	TDRD7
Organelle Envelope Lumen (GO:0031970)	2/68	0.043927871569565506	0.2190445633178055	0	0	6.261363636363637	19.568052911815936	ALPL;COA7
Tertiary Granule (GO:0070820)	3/162	0.045413550359309676	0.2190445633178055	0	0	3.9211519364448857	12.123985153265155	ATP8B4;CR1;LILRB2
Recycling Endosome Membrane (GO:0055038)	2/70	0.046279519473212044	0.2190445633178055	0	0	6.076593137254902	18.673709540062116	HLA-B;HLA-F
Tertiary Granule Membrane (GO:0070821)	2/72	0.048676569626179	0.2190445633178055	0	0	5.902380952380953	17.840285704351114	ATP8B4;LILRB2
